Divison,District,Upazila,"Lat,long",worker,citizen,Coordinator ,Planner,sensors,centers
,,4. Kishoreganj Upazila,"25.9023526, 89.0227048",worker106,citizen106,Coordinator106,Planner106,sensor106,center106
,,5. Nilphamari Sadar Upazila,"25.9485395, 88.8373514",worker107,citizen107,Coordinator107,Planner107,sensor107,center107
,,6. Saidpur Upazila,"25.7780239, 88.8976227",worker108,citizen108,Coordinator108,Planner108,sensor108,center108
,Panchagarh District,1. Atwari Upazila,"26.2366009, 88.41380769999999",worker109,citizen109,Coordinator109,Planner109,sensor109,center109
,,2. Boda Upazila,"26.1982136, 88.5546556",worker110,citizen110,Coordinator110,Planner110,sensor110,center110
,,3. Debiganj Upazila,"26.1202169, 88.7589007",worker111,citizen111,Coordinator111,Planner111,sensor111,center111
,,4. Panchagarh Sadar Upazila,"26.3354784, 88.5522474",worker112,citizen112,Coordinator112,Planner112,sensor112,center112
,,5. Tetulia Upazila,"26.4954355, 88.3406528",worker113,citizen113,Coordinator113,Planner113,sensor113,center113
,Rangpur District,1. Badarganj Upazila,"25.6539681, 89.07047659999999",worker114,citizen114,Coordinator114,Planner114,sensor114,center114
,,2. Gangachhara Upazila,"25.8300734, 89.1195784",worker115,citizen115,Coordinator115,Planner115,sensor115,center115
,,3. Kaunia Upazila,"25.7741665, 89.4316601",worker116,citizen116,Coordinator116,Planner116,sensor116,center116
,,4. Mithapukur Upazila,"25.5544164, 89.27541570000001",worker117,citizen117,Coordinator117,Planner117,sensor117,center117
,,5. Pirgachha Upazila,"25.655698, 89.40326309999999",worker118,citizen118,Coordinator118,Planner118,sensor118,center118
,,6. Pirganj Upazila,"25.4166007, 89.3075204",worker119,citizen119,Coordinator119,Planner119,sensor119,center119
,,7. Rangpur Sadar Upazila,"25.7438934, 89.2755983",worker120,citizen120,Coordinator120,Planner120,sensor120,center120
,,8. Taraganj Upazila,"25.8079777, 89.0355579",worker121,citizen121,Coordinator121,Planner121,sensor121,center121
,Thakurgaon District,1. Baliadangi Upazila,"26.0854593, 88.2765381",worker122,citizen122,Coordinator122,Planner122,sensor122,center122
,,2. Haripur Upazila,"25.834299, 88.1243489",worker123,citizen123,Coordinator123,Planner123,sensor123,center123
,,3. Pirganj Upazila,"25.4166007, 89.3075204",worker124,citizen124,Coordinator124,Planner124,sensor124,center124
,,4. Ranisankail Upazila,"25.8920465, 88.2582857",worker125,citizen125,Coordinator125,Planner125,sensor125,center125
,,5. Thakurgaon Sadar Upazila,"26.0287744, 88.47855310000001",worker126,citizen126,Coordinator126,Planner126,sensor126,center126
,,6. Ruhia Upazila,Not Found,worker127,citizen127,Coordinator127,Planner127,sensor127,center127
,,7. Bhully Upazila,Not Found,worker128,citizen128,Coordinator128,Planner128,sensor128,center128
Mymensingh,Jamalpur District,1. Baksiganj Upazila,"25.1830617, 89.8701469",worker129,citizen129,Coordinator129,Planner129,sensor129,center129
,,2. Dewanganj Upazila,"25.3310623, 89.79131629999999",worker130,citizen130,Coordinator130,Planner130,sensor130,center130
,,3. Islampur Upazila,"25.0812952, 89.7894766",worker131,citizen131,Coordinator131,Planner131,sensor131,center131
,,4. Jamalpur Sadar Upazila,"24.9270016, 89.9480542",worker132,citizen132,Coordinator132,Planner132,sensor132,center132
,,5. Madarganj Upazila,"24.9068332, 89.7166965",worker133,citizen133,Coordinator133,Planner133,sensor133,center133
,,6. Melandaha Upazila,"24.9817005, 89.8291768",worker134,citizen134,Coordinator134,Planner134,sensor134,center134
,,7. Sarishabari Upazila,"24.7669433, 89.8409152",worker135,citizen135,Coordinator135,Planner135,sensor135,center135
,Mymensingh District,1. Bhaluka Upazila,"24.4078575, 90.3865746",worker136,citizen136,Coordinator136,Planner136,sensor136,center136
,,2. Dhobaura Upazila,"25.0899993, 90.5222045",worker137,citizen137,Coordinator137,Planner137,sensor137,center137
,,3. Fulbaria Upazila,"24.6322057, 90.2708037",worker138,citizen138,Coordinator138,Planner138,sensor138,center138
,,4. Gafargaon Upazila,"24.4572407, 90.54866799999999",worker139,citizen139,Coordinator139,Planner139,sensor139,center139
,,5. South Gafargaon Upazila,"24.4572407, 90.54866799999999",worker140,citizen140,Coordinator140,Planner140,sensor140,center140
,,6. Gauripur Upazila,"24.7545607, 90.56782729999999",worker141,citizen141,Coordinator141,Planner141,sensor141,center141
,,7. Haluaghat Upazila,"25.1242115, 90.33955139999999",worker142,citizen142,Coordinator142,Planner142,sensor142,center142
,,8. Ishwarganj Upazila,"24.6884385, 90.5966222",worker143,citizen143,Coordinator143,Planner143,sensor143,center143
